run_id,model,regime,family_set,family,seed,n_family,n_normal,n_test,positive_rate,precision,recall,f1,roc_auc,accuracy,balanced_accuracy,macro_f1,notes
phase6-crossera,scratch_logreg,cross_era,shared,backdoor,42,20000,50000,70000,0.285714,0.000375,0.0005,0.000428,0.116619,0.333343,0.23349,0.250166,"one-vs-normal on the cross_era set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,scratch_logreg,cross_era,shared,dos,42,20000,50000,70000,0.285714,0.055215,0.07795,0.064642,0.189549,0.355471,0.272215,0.286492,"one-vs-normal on the cross_era set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,scratch_logreg,cross_era,shared,scanning,42,20000,50000,70000,0.285714,0.023394,0.03195,0.02701,0.065996,0.342329,0.249215,0.265153,"one-vs-normal on the cross_era set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,scratch_logreg,in_distribution,shared,backdoor,42,583,37000,37583,0.015512,0.041188,0.93482,0.0789,0.95867,0.661416,0.795964,0.435743,"one-vs-normal on the in_distribution set; fit on UNSW train fold, scored on UNSW-test; shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,scratch_logreg,in_distribution,shared,dos,42,4089,37000,41089,0.099516,0.214038,0.84495,0.341555,0.898908,0.675801,0.751029,0.563258,"one-vs-normal on the in_distribution set; fit on UNSW train fold, scored on UNSW-test; shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,scratch_logreg,in_distribution,shared,scanning,42,3496,37000,40496,0.08633,0.21189,0.975686,0.348168,0.837547,0.684611,0.816397,0.570074,"one-vs-normal on the in_distribution set; fit on UNSW train fold, scored on UNSW-test; shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,scratch_mlp,cross_era,shared,backdoor,42,20000,50000,70000,0.285714,0.000533,0.0009,0.00067,0.101877,0.232743,0.16319,0.189006,"one-vs-normal on the cross_era set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,scratch_mlp,cross_era,shared,dos,42,20000,50000,70000,0.285714,0.062568,0.11255,0.080426,0.145182,0.264643,0.219015,0.233898,"one-vs-normal on the cross_era set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,scratch_mlp,cross_era,shared,scanning,42,20000,50000,70000,0.285714,0.01725,0.0296,0.021798,0.062126,0.240943,0.17754,0.200834,"one-vs-normal on the cross_era set; same fit, zero-shot on TON_IoT (transform-only, no refit of model or preprocessor); shared-family vocabulary (schema_map.SHARED_FAMILIES)"
phase6-crossera,scratch_mlp,in_distribution,shared,backdoor,42,583,37000,37583,0.015512,0.101562,0.981132,0.184071,0.992208,0.865072,0.922188,0.555263,"one-vs-normal on the in_distribution set; fit on UNSW train fold, scored on UNSW-test; shared-family vocabulary (schema_map.SHARED_FAMILIES)"
